city,Operateur,2G,3G,4G
Larmor-Plage,20801,1,1,1
Quéven,20801,1,1,0
Carnoët,20801,1,1,0
Quéven,20810,1,1,1
Quéven,20820,1,1,1
Quéven,20801,1,1,1
Quéven,20815,0,1,1
Meslan,20820,1,1,1
Meslan,20810,1,1,1
La Chapelle-Neuve,20820,1,1,0
La Chapelle-Neuve,20801,1,1,0
La Chapelle-Neuve,20815,0,1,0
La Chapelle-Neuve,20810,1,1,0
Paule,20820,1,1,1
Paule,20810,0,0,1
Paule,20815,0,1,1
Paule,20801,1,1,0
Trébeurden,20810,0,1,0
Paule,20820,1,1,0
Lorient,20820,1,1,1
Lorient,20810,1,1,1
Lorient,20815,0,1,1
Pleumeur-Bodou,20820,1,1,0
Pleumeur-Bodou,20820,1,1,1
Pleumeur-Bodou,20810,1,1,1
Pleumeur-Bodou,20815,0,1,1
Meslan,20801,1,1,0
Loguivy-Plougras,20810,1,1,1
Loguivy-Plougras,20820,1,1,1
Loguivy-Plougras,20815,0,1,1
Lorient,20801,1,1,1
Guilligomarc'h,20820,1,1,1
Guilligomarc'h,20810,1,1,1
Larmor-Plage,20810,1,1,1
Larmor-Plage,20820,1,1,1
Pont-Scorff,20820,1,1,1
Pont-Scorff,20810,1,1,0
Pont-Scorff,20801,1,1,0
Plouaret,20815,0,1,1
Plouaret,20801,1,1,1
Larmor-Plage,20801,1,1,0
Duault,20820,1,1,1
Duault,20810,1,1,1
Trégastel,20810,1,1,0
Lannion,20810,1,1,1
Lannion,20820,1,1,1
Lannion,20815,0,1,1
Pleumeur-Bodou,20801,1,1,1
Trégastel,20801,1,1,1
Cléguer,20801,1,1,0
Trégastel,20820,1,1,1
Trégastel,20810,0,0,1
Lannion,20801,1,1,1
Lannion,20810,0,1,0
Plounévez-Moëdec,20820,1,1,1
Plounévez-Moëdec,20810,1,1,0
Port-Louis,20801,1,1,0
Lannion,20820,1,1,0
Lanester,20815,0,1,1
Lanester,20801,1,1,1
Glomel,20801,1,1,0
Perros-Guirec,20820,1,1,0
Maël-Carhaix,20820,1,1,1
Maël-Carhaix,20810,1,1,1
Lannion,20810,0,0,1
Le Vieux-Marché,20810,1,1,0
Le Vieux-Marché,20820,1,1,1
Lannion,20801,1,1,0
Cléguer,20820,1,1,1
Cléguer,20810,1,1,1
Cléguer,20815,0,1,1
Caudan,20810,1,1,1
Locarn,20820,1,1,0
Locarn,20815,0,1,0
Locarn,20810,1,1,0
Locarn,20801,1,1,0
Caudan,20820,1,1,1
Caudan,20810,0,1,0
Perros-Guirec,20801,1,1,0
Caudan,20801,1,1,0
Perros-Guirec,20815,0,1,0
Perros-Guirec,20810,1,1,0
Caudan,20815,0,1,1
Callac,20820,1,1,1
Callac,20810,1,1,1
Callac,20801,1,1,0
Lanester,20820,1,1,1
Lanester,20810,1,1,1
Riantec,20801,0,0,0
Lanester,20815,0,1,0
Lanester,20801,0,1,1
Lanester,20810,1,1,0
Riantec,20820,1,1,1
Riantec,20815,0,1,1
Riantec,20810,1,1,1
Locmiquélic,20801,1,1,0
Ploubezre,20801,1,1,0
Perros-Guirec,20801,1,1,1
Saint-Quay-Perros,20810,1,1,1
Saint-Quay-Perros,20820,1,1,1
Saint-Quay-Perros,20801,1,1,0
Plounévez-Moëdec,20801,1,1,0
Saint-Caradec-Trégomel,20820,1,1,1
Saint-Caradec-Trégomel,20810,1,1,1
Riantec,20801,1,1,0
Lannion,20801,0,0,0
Lannion,20801,0,1,0
Lannion,20810,1,1,0
Caudan,20815,0,1,0
Saint-Servais,20820,1,1,0
Saint-Servais,20810,1,1,0
Saint-Servais,20815,0,1,0
